what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.adt",1345644370930
started,bundle,com.android.ide.eclipse.base,20.0.2.v201207191942-407447,"com.android.ide.eclipse.base",1345644370931
os,sysinfo,,,"macosx",1345644370933
arch,sysinfo,,,"x86_64",1345644370933
ws,sysinfo,,,"cocoa",1345644370933
locale,sysinfo,,,"en_US",1345644370933
processors,sysinfo,,,"8",1345644370933
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1345644370933
java.runtime.version,sysinfo,,,"1.6.0_33-b03-424-11M3720",1345644370933
java.specification.name,sysinfo,,,"Java Platform API Specification",1345644370933
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1345644370933
java.specification.version,sysinfo,,,"1.6",1345644370933
java.vendor,sysinfo,,,"Apple Inc.",1345644370933
java.version,sysinfo,,,"1.6.0_33",1345644370933
java.vm.info,sysinfo,,,"mixed mode",1345644370933
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1345644370933
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1345644370933
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1345644370933
java.vm.specification.version,sysinfo,,,"1.0",1345644370933
java.vm.vendor,sysinfo,,,"Apple Inc.",1345644370933
java.vm.version,sysinfo,,,"20.8-b03-424",1345644370933
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1345644370956
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1345644371804
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1345644372422
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1345644372673
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1345644373376
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1345644373417
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1345644373487
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1345644375370
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345644445288
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1345644445426
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345644448044
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1345663621645
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1345663624347
